trade_date,ts_code,name,industry,area,pe,float_share,total_share,total_assets,liquid_assets,fixed_assets,reserved,reserved_pershare,eps,bvps,pb,list_date,undp,per_undp,rev_yoy,profit_yoy,gpr,npr,holder_num
20230530,000001.SZ,平安银行,银行,深圳,3.94,194.06,194.06,54558.97,0.00,106.81,807.56,4.16,0.65,19.42,0.61,19910403,1988.26,10.25,-2.40,13.63,40.73,32.38,506867
20230530,000002.SZ,万 科Ａ,全国地产,深圳,29.62,97.17,119.31,17430.79,14010.49,171.71,238.27,2.00,0.13,20.62,0.70,19910129,994.60,8.34,9.27,1.16,15.45,4.14,546765
20230530,000004.SZ,ST国华,软件服务,深圳,0.00,1.19,1.33,5.35,4.66,0.02,12.32,9.27,-0.06,2.60,5.41,19910114,-10.33,-7.78,88.71,40.92,60.87,-36.02,13779
20230530,000005.SZ,ST星源,环境保护,深圳,0.00,10.58,10.59,25.24,14.25,0.22,6.81,0.64,-0.00,1.14,0.93,19901210,-5.51,-0.52,-3.72,-279.00,5.63,-14.36,84791
20230530,000006.SZ,深振业Ａ,区域地产,深圳,0.00,13.50,13.50,264.94,223.16,0.53,4.84,0.36,-0.01,5.84,0.79,19920427,38.77,2.87,-24.40,-127.20,37.57,-4.91,77046
20230530,000007.SZ,*ST全新,其他商业,深圳,0.00,3.09,3.46,3.54,2.42,0.46,1.57,0.45,-0.00,0.26,15.27,19920413,-3.56,-1.03,-17.46,94.78,21.91,-1.29,11609
20230530,000008.SZ,神州高铁,运输设备,北京,0.00,26.30,27.16,114.55,51.80,4.43,26.21,0.96,-0.01,1.60,1.52,19920507,-10.67,-0.39,100.08,35.82,36.76,-7.13,89355
20230530,000009.SZ,中国宝安,电气设备,深圳,33.19,25.51,25.79,513.90,335.10,80.51,14.93,0.58,0.09,3.66,3.37,19910625,50.55,1.96,44.78,44.94,18.53,5.67,226236
20230530,000010.SZ,美丽生态,建筑工程,深圳,0.00,5.22,10.59,34.73,26.24,0.13,19.68,1.86,-0.03,0.64,3.53,19951027,-23.57,-2.23,-32.60,-1490.51,7.05,-28.34,34855
20230530,000011.SZ,深物业A,区域地产,深圳,107.21,5.26,5.96,157.79,137.11,0.79,0.80,0.14,0.02,7.43,1.28,19920330,37.04,6.22,-67.23,-93.98,24.59,2.37,45441
20230530,000012.SZ,南 玻Ａ,玻璃,深圳,11.93,19.56,30.71,256.37,80.36,125.49,5.97,0.19,0.13,4.31,1.43,19920228,81.83,2.66,46.13,3.32,22.24,9.64,164699
20230530,000014.SZ,沙河股份,全国地产,深圳,3.76,2.42,2.42,32.47,29.30,0.22,0.10,0.04,0.67,5.49,1.83,19920602,8.28,3.42,172.88,929.34,67.21,41.49,25073
20230530,000016.SZ,深康佳Ａ,家用电器,深圳,19.02,15.97,24.08,383.46,187.56,40.40,3.48,0.14,0.06,3.23,1.49,19920327,37.92,1.57,-44.70,46.12,3.24,1.98,86330
20230530,000017.SZ,深中华A,服饰,深圳,260.09,3.03,6.89,3.96,3.93,0.02,7.79,1.13,0.00,0.43,10.12,19920331,-12.08,-1.75,201.57,415.11,5.51,2.35,46761
20230530,000019.SZ,深粮控股,农业综合,深圳,20.30,4.16,11.53,79.10,45.56,21.19,12.60,1.09,0.09,4.22,1.76,19921012,20.16,1.75,-38.71,-23.28,18.52,7.87,50940
20230530,000020.SZ,深华发Ａ,元器件,深圳,120.84,1.81,2.83,5.83,3.22,1.70,1.47,0.52,0.02,1.27,8.64,19920428,-1.47,-0.52,2.38,8.91,13.83,3.66,19630
20230530,000021.SZ,深科技,元器件,深圳,82.00,15.60,15.61,276.59,161.79,43.92,21.40,1.37,0.07,6.66,3.19,19940202,51.51,3.30,7.75,-58.30,10.75,3.12,190989
20230530,000023.SZ,ST深天,水泥,深圳,0.00,1.39,1.39,14.23,11.11,0.77,1.02,0.73,-0.13,0.87,7.16,19930429,-1.70,-1.23,-44.41,45.30,-2.59,-49.28,10769
20230530,000025.SZ,特 力Ａ,汽车服务,深圳,71.50,3.93,4.31,23.97,9.58,0.88,4.31,1.00,0.06,3.55,4.72,19930621,6.16,1.43,142.62,-25.24,14.09,7.47,64114
20230530,000026.SZ,飞亚达,服饰,深圳,11.89,3.63,4.18,41.00,29.52,3.59,10.03,2.40,0.25,7.79,1.51,19930603,15.83,3.79,2.25,19.50,36.03,8.60,34163
20230530,000027.SZ,深圳能源,火力发电,深圳,13.00,47.57,47.57,1483.26,379.42,586.48,45.02,0.95,0.11,6.07,1.14,19930903,136.82,2.88,4.20,22.45,22.15,9.45,145432
20230530,000028.SZ,国药一致,医药商业,深圳,17.38,3.68,4.28,478.85,369.29,8.33,43.57,10.18,0.85,38.51,1.53,19930809,114.81,26.82,8.96,43.53,11.42,2.47,28248
20230530,000029.SZ,深深房Ａ,区域地产,深圳,0.00,8.92,10.12,55.08,48.51,0.21,9.78,0.97,-0.04,3.92,2.85,19930915,16.78,1.66,-59.96,-121.97,7.40,-33.39,45531
20230530,000030.SZ,富奥股份,汽车配件,吉林,25.90,16.92,17.42,149.47,67.34,28.77,4.85,0.28,0.05,4.34,1.12,19930929,47.49,2.73,3.29,243.12,8.29,2.48,29606
20230530,000031.SZ,大悦城,全国地产,深圳,22.82,40.03,42.86,2061.34,1492.20,34.68,86.40,2.02,0.04,3.66,1.00,19931008,17.73,0.41,-25.61,269.90,30.29,10.06,116541
20230530,000032.SZ,深桑达Ａ,建筑工程,深圳,0.00,6.45,11.38,565.16,458.81,44.28,35.80,3.15,-0.05,5.44,5.79,19931028,11.09,0.97,13.33,54.70,10.32,0.78,45085
20230530,000034.SZ,神州数码,软件服务,深圳,21.81,5.49,6.69,379.01,300.30,1.85,40.87,6.11,0.32,11.70,2.33,19940509,29.23,4.37,-5.18,11.63,3.68,0.81,68671
20230530,000035.SZ,中国天楹,环境保护,江苏,65.96,24.53,25.24,268.93,62.35,19.58,83.00,3.29,0.02,4.11,1.17,19940408,29.63,1.17,-7.28,7.62,23.64,4.41,46760
20230530,000036.SZ,华联控股,全国地产,深圳,47.82,14.80,14.84,88.76,66.95,7.50,2.32,0.16,0.02,3.60,1.07,19940617,30.51,2.06,-16.38,-15.04,49.07,22.44,43668
20230530,000037.SZ,深南电A,火力发电,深圳,0.00,3.39,6.03,24.41,14.31,5.85,3.63,0.60,-0.05,2.36,3.45,19940701,1.28,0.21,47.91,19.79,-14.20,-30.50,38525
20230530,000038.SZ,*ST大通,综合类,深圳,10.12,2.51,5.23,27.56,5.78,0.13,43.49,8.32,0.25,4.54,0.76,19940808,-25.63,-4.90,-9.58,139.68,10.45,7.05,17271
20230530,000039.SZ,中集集团,运输设备,深圳,57.82,23.01,53.93,1483.31,787.01,386.63,42.34,0.79,0.03,8.68,0.79,19940408,317.42,5.89,-25.05,-90.61,13.68,1.79,118808
20230530,000040.SZ,东旭蓝天,新型电力,深圳,104.72,10.60,14.87,251.86,124.08,53.25,106.76,7.18,0.01,7.59,0.60,19940808,-10.91,-0.73,-14.04,128.14,17.70,2.76,93128
20230530,000042.SZ,中洲控股,全国地产,深圳,20.72,6.64,6.65,352.21,295.28,9.57,19.49,2.93,0.09,11.53,0.66,19940921,44.97,6.76,114.72,67.63,32.22,1.45,17341
20230530,000045.SZ,深纺织Ａ,元器件,深圳,107.23,4.57,5.07,55.76,27.53,21.87,19.62,3.87,0.03,5.65,1.96,19940815,1.84,0.36,1.31,-25.63,11.41,2.57,34973
20230530,000046.SZ,*ST泛海,多元金融,北京,0.00,51.94,51.96,1012.02,634.00,6.78,88.98,1.71,-0.25,-1.26,-0.78,19940912,-220.68,-4.25,-67.21,-63.97,52.08,-442.75,71010
20230530,000048.SZ,京基智农,区域地产,深圳,2.08,5.23,5.23,136.60,55.56,58.41,0.42,0.08,2.33,7.35,2.64,19941101,30.24,5.78,1347.36,960.38,47.82,18.34,12108
20230530,000049.SZ,德赛电池,电气设备,深圳,37.23,2.99,2.99,113.73,70.79,20.03,1.51,0.51,0.25,13.90,2.63,19950320,35.73,11.94,-12.53,-52.31,8.68,1.56,66332
20230530,000050.SZ,深天马Ａ,元器件,深圳,0.00,23.76,24.58,807.00,211.76,223.21,262.35,10.67,-0.27,11.95,0.80,19950315,5.77,0.23,-11.15,-937.50,5.95,-8.59,90311
20230530,000055.SZ,方大集团,装修装饰,深圳,18.01,6.76,10.74,124.97,51.90,6.42,0.11,0.01,0.07,5.37,0.88,19960415,45.70,4.26,25.09,61.36,24.00,8.95,54201
20230530,000056.SZ,皇庭国际,房产服务,深圳,0.00,9.03,12.10,101.80,11.30,1.12,17.83,1.47,-0.09,1.65,2.20,19960708,-6.11,-0.50,8.30,13.35,57.74,-52.35,29972
20230530,000058.SZ,深 赛 格,商品城,深圳,58.28,9.85,12.31,52.73,33.20,3.00,1.66,0.13,0.03,1.59,3.91,19961226,3.85,0.31,-5.72,-2.41,24.05,9.62,67212
